น้ำผึ้ง,ต.บ้านอิฐ อ.เมืองอ่างทอง จ.อ่างทอง 14000,เขตพื้นที่การศึกษาอ่างทอง เขต 1
นาใหญ่,ต.ทุ่งใหญ่ อ.ทุ่งใหญ่ จ.นครศรีธรรมราช 80240,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
นำทรัพย์,ต.ขนาบนาก อ.ปากพนัง จ.นครศรีธรรมราช 80140,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
น้ำขาว,ต.ฉลอง อ.สิชล จ.นครศรีธรรมราช 80120,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
น้ำร้อน,ต.สี่ขีด อ.สิชล จ.นครศรีธรรมราช 80120,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
น้ำฉา,ต.เทพราช อ.สิชล จ.นครศรีธรรมราช 80120,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
นาตำเสา,ต.บ้านนิคม อ.บางขัน จ.นครศรีธรรมราช 80360,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
นิคมวังหิน,ต.บ้านนิคม อ.บางขัน จ.นครศรีธรรมราช 80360,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
นาพา,ต.ถ้ำพรรณรา อ.ถ้ำพรรณรา จ.นครศรีธรรมราช 80260,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
นบ,ต.กรุงชิง อ.นบพิตำ จ.นครศรีธรรมราช 80160,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
นา,ต.ช้างกลาง อ.ช้างกลาง จ.นครศรีธรรมราช 80250,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
นาปราน,ต.หลักช้าง อ.ช้างกลาง จ.นครศรีธรรมราช 80250,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
นานอก,ต.กระบี่น้อย อ.เมืองกระบี่ จ.กระบี่ 81000,เขตพื้นที่การศึกษากระบี่ เขต 1
น้ำจาน,ต.กระบี่น้อย อ.เมืองกระบี่ จ.กระบี่ 81000,เขตพื้นที่การศึกษากระบี่ เขต 1
นาทุ่งกลาง,ต.เกาะกลาง อ.เกาะลันตา จ.กระบี่ 81120,เขตพื้นที่การศึกษากระบี่ เขต 1
น้ำร้อน,ต.ห้วยน้ำขาว อ.คลองท่อม จ.กระบี่ 81120,เขตพื้นที่การศึกษากระบี่ เขต 1
นางรอง,ต.พรุดินนา อ.คลองท่อม จ.กระบี่ 81120,เขตพื้นที่การศึกษากระบี่ เขต 1
นาเทา,ต.เขาเขน อ.ปลายพระยา จ.กระบี่ 81160,เขตพื้นที่การศึกษากระบี่ เขต 1
นาพรุ,ต.ลำทับ อ.ลำทับ จ.กระบี่ 81120,เขตพื้นที่การศึกษากระบี่ เขต 1
นาออก,ต.เหนือคลอง อ.เหนือคลอง จ.กระบี่ 81130,เขตพื้นที่การศึกษากระบี่ เขต 1
นาวง,ต.คลองเขม้า อ.เหนือคลอง จ.กระบี่ 81130,เขตพื้นที่การศึกษากระบี่ เขต 1
นาปง,ต.ห้วยยูง อ.เหนือคลอง จ.กระบี่ 81130,เขตพื้นที่การศึกษากระบี่ เขต 1
น้ำจืด,ต.เกาะยาวน้อย อ.เกาะยาว จ.พังงา 82160,เขตพื้นที่การศึกษาพังงา เขต 1
น้ำเค็ม( คาร์ฟูร์ บ.บวิคไทย บ.อีดีเอฟ จำกัด อุปถัมภ์ ),ต.บางม่วง อ.ตะกั่วป่า จ.พังงา 82190,เขตพื้นที่การศึกษาพังงา เขต 0
นอกนา,ต.เกาะคอเขา อ.ตะกั่วป่า จ.พังงา 82190,เขตพื้นที่การศึกษาพังงา เขต 1
นาแฝก,ต.นาเตย อ.ท้ายเหมือง จ.พังงา 82120,เขตพื้นที่การศึกษาพังงา เขต 1
นาใน,ต.ทุ่งมะพร้าว อ.ท้ายเหมือง จ.พังงา 82120,เขตพื้นที่การศึกษาพังงา เขต 1
นาบอน,ต.วิชิต อ.เมืองภูเก็ต จ.ภูเก็ต 83000,เขตพื้นที่การศึกษาภูเก็ต เขต 1
น้ำฉา,ต.ดอนสัก อ.ดอนสัก จ.สุราษฎร์ธานี 84220,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
นาแค,ต.ทุ่ง อ.ไชยา จ.สุราษฎร์ธานี 84110,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
นา,ต.ปากหมาก อ.ไชยา จ.สุราษฎร์ธานี 84110,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
น้ำราด,ต.บ้านทำเนียบ อ.คีรีรัฐนิคม จ.สุราษฎร์ธานี 84180,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
นายาง,ต.นาสาร อ.บ้านนาสาร จ.สุราษฎร์ธานี 84120,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
นาสาร,ต.นาสาร อ.บ้านนาสาร จ.สุราษฎร์ธานี 84120,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 11
นาควน,ต.ท่าชี อ.บ้านนาสาร จ.สุราษฎร์ธานี 84120,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
